coil_geometry,turns,gap,offset,frequency,q_factor,voltage,current,ferrite,shield,efficiency
circle,8,10,0,90,150,300,5,A1,mu-metal,88.22564023996468
circle,8,10,0,90,150,300,5,B1,none,88.81065374748289
circle,8,10,0,90,150,300,5,B1,mu-metal,88.74504499125337
circle,8,10,0,90,150,350,3,A1,none,87.92351665068594
circle,8,10,0,90,150,350,3,A1,mu-metal,87.92170538002073
circle,8,10,0,90,150,350,3,B1,none,88.21379649103892
circle,8,10,0,90,150,350,3,B1,mu-metal,88.65209249176065
circle,8,10,0,90,150,350,5,A1,none,88.4432865074437
circle,8,10,0,90,150,350,5,A1,mu-metal,88.24306683012499
circle,8,10,0,90,150,350,5,B1,none,88.57837193389274
circle,8,10,0,90,150,350,5,B1,mu-metal,88.59670646757138
circle,8,10,0,90,170,300,3,A1,none,88.32856118971996
circle,8,10,0,90,170,300,3,A1,mu-metal,87.87635318397083
circle,8,10,0,90,170,300,3,B1,none,87.57928260782383
circle,8,10,0,90,170,300,3,B1,mu-metal,87.9841538056469
circle,8,10,0,90,170,300,5,A1,none,89.23740801790078
circle,8,10,0,90,170,300,5,A1,mu-metal,87.83702016863514
circle,8,10,0,90,170,300,5,B1,none,88.41554405724727
circle,8,10,0,90,170,300,5,B1,mu-metal,88.46736318281916
circle,8,10,0,90,170,350,3,A1,none,87.96017498341638
circle,8,10,0,90,170,350,3,A1,mu-metal,87.68620822692456
circle,8,10,0,90,170,350,3,B1,none,88.09336957441361
circle,8,10,0,90,170,350,3,B1,mu-metal,87.97152325759652
circle,8,10,0,90,170,350,5,A1,none,88.18917901686301
circle,8,10,0,90,170,350,5,A1,mu-metal,87.455117523863
circle,8,10,0,90,170,350,5,B1,none,88.4476381454114
circle,8,10,0,90,170,350,5,B1,mu-metal,88.58080534865455
circle,8,10,10,80,150,300,3,A1,none,82.94749384718297
circle,8,10,10,80,150,300,3,A1,mu-metal,82.25362395714811
circle,8,10,10,80,150,300,3,B1,none,83.28180099161534
circle,8,10,10,80,150,300,3,B1,mu-metal,83.50448593717968
circle,8,10,10,80,150,300,5,A1,none,83.0094481739769
circle,8,10,10,80,150,300,5,A1,mu-metal,82.77626703453217
circle,8,10,10,80,150,300,5,B1,none,82.96851582314174
circle,8,10,10,80,150,300,5,B1,mu-metal,82.68616320320577
circle,8,10,10,80,150,350,3,A1,none,83.48037295958625
circle,8,10,10,80,150,350,3,A1,mu-metal,82.86241518311876
circle,8,10,10,80,150,350,3,B1,none,83.28242057397516
circle,8,10,10,80,150,350,3,B1,mu-metal,83.15496928023246
circle,8,10,10,80,150,350,5,A1,none,82.88322066071851
circle,8,10,10,80,150,350,5,A1,mu-metal,83.31550199898594
circle,8,10,10,80,150,350,5,B1,none,82.80326269832018
circle,8,10,10,80,150,350,5,B1,mu-metal,83.58525462802149
circle,8,10,10,80,170,300,3,A1,none,82.86912881560211
circle,8,10,10,80,170,300,3,A1,mu-metal,82.81065668232574
circle,8,10,10,80,170,300,3,B1,none,82.73132319646075
circle,8,10,10,80,170,300,3,B1,mu-metal,82.29520124425865
circle,8,10,10,80,170,300,5,A1,none,82.83387773959544
circle,8,10,10,80,170,300,5,A1,mu-metal,83.33575890740875
circle,8,10,10,80,170,300,5,B1,none,82.91060533648906
circle,8,10,10,80,170,300,5,B1,mu-metal,83.04989170092442
circle,8,10,10,80,170,350,3,A1,none,83.53549402941483
circle,8,10,10,80,170,350,3,A1,mu-metal,82.82379518311731
circle,8,10,10,80,170,350,3,B1,none,83.53823639612204
circle,8,10,10,80,170,350,3,B1,mu-metal,82.5876859561547
circle,8,10,10,80,170,350,5,A1,none,83.08554539738108
circle,8,10,10,80,170,350,5,A1,mu-metal,82.72369566302802
circle,8,10,10,80,170,350,5,B1,none,83.04147755893814
circle,8,10,10,80,170,350,5,B1,mu-metal,83.48057862387658
circle,8,10,10,90,150,300,3,A1,none,82.99507480865037
circle,8,10,10,90,150,300,3,A1,mu-metal,82.65566097245701
circle,8,10,10,90,150,300,3,B1,none,83.36210113936866
circle,8,10,10,90,150,300,3,B1,mu-metal,83.37634721575901
circle,8,10,10,90,150,300,5,A1,none,83.38951626204695
circle,8,10,10,90,150,300,5,A1,mu-metal,83.43355211143161
circle,8,10,10,90,150,300,5,B1,none,82.9864494947512
circle,8,10,10,90,150,300,5,B1,mu-metal,83.11802692516905
circle,8,10,10,90,150,350,3,A1,none,83.23361738197505
circle,8,10,10,90,150,350,3,A1,mu-metal,83.16199610916615
circle,8,10,10,90,150,350,3,B1,none,83.41369506303512
circle,8,10,10,90,150,350,3,B1,mu-metal,83.23438641373076
circle,8,10,10,90,150,350,5,A1,none,82.77150268373128
circle,8,10,10,90,150,350,5,A1,mu-metal,83.622063534511
circle,8,10,10,90,150,350,5,B1,none,82.44033400497186
circle,8,10,10,90,150,350,5,B1,mu-metal,83.60219640553586
circle,8,10,10,90,170,300,3,A1,none,83.49309974668633
circle,8,10,10,90,170,300,3,A1,mu-metal,83.79983226324364
circle,8,10,10,90,170,300,3,B1,none,83.22210793933685
circle,8,10,10,90,170,300,3,B1,mu-metal,83.86502145484172
circle,8,10,10,90,170,300,5,A1,none,83.52129701181742
circle,8,10,10,90,170,300,5,A1,mu-metal,83.23992737478848
circle,8,10,10,90,170,300,5,B1,none,82.89893540219414
circle,8,10,10,90,170,300,5,B1,mu-metal,83.5281916658862
circle,8,10,10,90,170,350,3,A1,none,83.26527586196444
circle,8,10,10,90,170,350,3,A1,mu-metal,83.235697252803
circle,8,10,10,90,170,350,3,B1,none,83.21049841168747
circle,8,10,10,90,170,350,3,B1,mu-metal,82.65269844026304
circle,8,10,10,90,170,350,5,A1,none,82.72124738460849
circle,8,10,10,90,170,350,5,A1,mu-metal,84.52821981367241
circle,8,10,10,90,170,350,5,B1,none,84.15537135575647
circle,8,10,10,90,170,350,5,B1,mu-metal,82.91881681122477
circle,8,15,0,80,150,300,3,A1,none,84.97449305060519
circle,8,15,0,80,150,300,3,A1,mu-metal,84.71142502848821
circle,8,15,0,80,150,300,3,B1,none,84.6417476865929
circle,8,15,0,80,150,300,3,B1,mu-metal,85.18360755430542
circle,8,15,0,80,150,300,5,A1,none,84.63414640189428
circle,8,15,0,80,150,300,5,A1,mu-metal,84.66498277568567
circle,8,15,0,80,150,300,5,B1,none,84.71884253948869
circle,8,15,0,80,150,300,5,B1,mu-metal,84.61363182971634
circle,8,15,0,80,150,350,3,A1,none,84.2795577806833
circle,8,15,0,80,150,350,3,A1,mu-metal,84.56578111668368
circle,8,15,0,80,150,350,3,B1,none,85.47998706836573
circle,8,15,0,80,150,350,3,B1,mu-metal,85.32357122716388
circle,8,15,0,80,150,350,5,A1,none,84.9500095480912
circle,8,15,0,80,150,350,5,A1,mu-metal,84.16820359761877
circle,8,15,0,80,150,350,5,B1,none,85.32132955759829
circle,8,15,0,80,150,350,5,B1,mu-metal,85.24361009130295
circle,8,15,0,80,170,300,3,A1,none,84.83668324265403
circle,8,15,0,80,170,300,3,A1,mu-metal,85.20022125795651
circle,8,15,0,80,170,300,3,B1,none,84.81931476863406
circle,8,15,0,80,170,300,3,B1,mu-metal,84.90166888180688
circle,8,15,0,80,170,300,5,A1,none,84.44951873640377
circle,8,15,0,80,170,300,5,A1,mu-metal,84.55311800916495
circle,8,15,0,80,170,300,5,B1,none,83.65762298700557
circle,8,15,0,80,170,300,5,B1,mu-metal,84.54638875603119
circle,8,15,0,80,170,350,3,A1,none,84.80372475717526
circle,8,15,0,80,170,350,3,A1,mu-metal,84.67140521036033
circle,8,15,0,80,170,350,3,B1,none,85.12472012536921
circle,8,15,0,80,170,350,3,B1,mu-metal,85.24995282956124
circle,8,15,0,80,170,350,5,A1,none,84.67175234485748
circle,8,15,0,80,170,350,5,A1,mu-metal,84.34100997367761
circle,8,15,0,80,170,350,5,B1,none,84.58049738599823
circle,8,15,0,80,170,350,5,B1,mu-metal,84.65524881859226
circle,8,15,0,90,150,300,3,A1,none,84.42725313585925
circle,8,15,0,90,150,300,3,A1,mu-metal,84.05004011255232
circle,8,15,0,90,150,300,3,B1,none,85.10177884365308
circle,8,15,0,90,150,300,3,B1,mu-metal,83.70634207793
circle,8,15,0,90,150,300,5,A1,none,84.96935355923375
circle,8,15,0,90,150,300,5,A1,mu-metal,84.08425008762931
circle,8,15,0,90,150,300,5,B1,none,84.97655276432083
circle,8,15,0,90,150,300,5,B1,mu-metal,85.7252404070937
circle,8,15,0,90,150,350,3,A1,none,84.2334474545112
circle,8,15,0,90,150,350,3,A1,mu-metal,85.05556199089416
circle,8,15,0,90,150,350,3,B1,none,84.74338683486184
circle,8,15,0,90,150,350,3,B1,mu-metal,84.27306182211632
circle,8,15,0,90,150,350,5,A1,none,84.79980669300696
circle,8,15,0,90,150,350,5,A1,mu-metal,84.79711985571743
circle,8,15,0,90,150,350,5,B1,none,84.19626406208417
circle,8,15,0,90,150,350,5,B1,mu-metal,84.75456248463593
circle,8,15,0,90,170,300,3,A1,none,83.9289090097856
circle,8,15,0,90,170,300,3,A1,mu-metal,83.97095235128278
circle,8,15,0,90,170,300,3,B1,none,84.2169905563671
circle,8,15,0,90,170,300,3,B1,mu-metal,84.28723911906594
circle,8,15,0,90,170,300,5,A1,none,85.23795109293876
circle,8,15,0,90,170,300,5,A1,mu-metal,84.91908466428417
circle,8,15,0,90,170,300,5,B1,none,84.69711750888605
circle,8,15,0,90,170,300,5,B1,mu-metal,84.34115976681751
circle,8,15,0,90,170,350,3,A1,none,84.20947252947379
circle,8,15,0,90,170,350,3,A1,mu-metal,84.89629339593364
circle,8,15,0,90,170,350,3,B1,none,84.62909661744006
circle,8,15,0,90,170,350,3,B1,mu-metal,85.40527104221452
circle,8,15,0,90,170,350,5,A1,none,83.73266727667864
circle,8,15,0,90,170,350,5,A1,mu-metal,86.0116850767717
circle,8,15,0,90,170,350,5,B1,none,83.79187858023184
circle,8,15,0,90,170,350,5,B1,mu-metal,85.63855333592956
circle,8,15,10,80,150,300,3,A1,none,80.42364966390998
circle,8,15,10,80,150,300,3,A1,mu-metal,79.8195127541923
circle,8,15,10,80,150,300,3,B1,none,79.10842167613434
circle,8,15,10,80,150,300,3,B1,mu-metal,79.90893022277368
circle,8,15,10,80,150,300,5,A1,none,79.85143815202879
circle,8,15,10,80,150,300,5,A1,mu-metal,80.20222944110803
circle,8,15,10,80,150,300,5,B1,none,79.73709472743316
circle,8,15,10,80,150,300,5,B1,mu-metal,79.34423870008088
circle,8,15,10,80,150,350,3,A1,none,79.8730727073207
circle,8,15,10,80,150,350,3,A1,mu-metal,79.95259716042649
circle,8,15,10,80,150,350,3,B1,none,78.68222946469032
circle,8,15,10,80,150,350,3,B1,mu-metal,79.83509141411066
circle,8,15,10,80,150,350,5,A1,none,79.96347342161894
circle,8,15,10,80,150,350,5,A1,mu-metal,80.4035549148242
circle,8,15,10,80,150,350,5,B1,none,80.23216461751758
circle,8,15,10,80,150,350,5,B1,mu-metal,80.44183526724154
circle,8,15,10,80,170,300,3,A1,none,79.30962628206444
circle,8,15,10,80,170,300,3,A1,mu-metal,80.25874869435494
circle,8,15,10,80,170,300,3,B1,none,79.75536402656559
circle,8,15,10,80,170,300,3,B1,mu-metal,79.8676338275037
circle,8,15,10,80,170,300,5,A1,none,79.45224782054892
circle,8,15,10,80,170,300,5,A1,mu-metal,79.41996925118391
circle,8,15,10,80,170,300,5,B1,none,80.7978105000382
circle,8,15,10,80,170,300,5,B1,mu-metal,78.33235874283282
circle,8,15,10,80,170,350,3,A1,none,79.60377467006384
circle,8,15,10,80,170,350,3,A1,mu-metal,79.1403119592157
circle,8,15,10,80,170,350,3,B1,none,79.23392058245241
circle,8,15,10,80,170,350,3,B1,mu-metal,80.7964631046138
circle,8,15,10,80,170,350,5,A1,none,79.68858120866719
circle,8,15,10,80,170,350,5,A1,mu-metal,79.41688882437442
circle,8,15,10,80,170,350,5,B1,none,79.46695875880947
circle,8,15,10,80,170,350,5,B1,mu-metal,79.0018951445206
circle,8,15,10,90,150,300,3,A1,none,79.531176127146
circle,8,15,10,90,150,300,3,A1,mu-metal,79.14505035851752
circle,8,15,10,90,150,300,3,B1,none,79.267307938127
circle,8,15,10,90,150,300,3,B1,mu-metal,79.68838057811557
circle,8,15,10,90,150,300,5,A1,none,79.71195970280546
circle,8,15,10,90,150,300,5,A1,mu-metal,78.60612867081933
circle,8,15,10,90,150,300,5,B1,none,80.26285594223283
circle,8,15,10,90,150,300,5,B1,mu-metal,79.16016087387744
circle,8,15,10,90,150,350,3,A1,none,80.06534479993184
circle,8,15,10,90,150,350,3,A1,mu-metal,79.41458344884832
circle,8,15,10,90,150,350,3,B1,none,79.76884495086978
circle,8,15,10,90,150,350,3,B1,mu-metal,80.19528891207011
circle,8,15,10,90,150,350,5,A1,none,80.16906473412807
circle,8,15,10,90,150,350,5,A1,mu-metal,79.14376024146733
circle,8,15,10,90,150,350,5,B1,none,80.31840794706439
circle,8,15,10,90,150,350,5,B1,mu-metal,79.19162655251661
circle,8,15,10,90,170,300,3,A1,none,79.20923646721478
circle,8,15,10,90,170,300,3,A1,mu-metal,79.47806746869864
circle,8,15,10,90,170,300,3,B1,none,80.12267455012868
circle,8,15,10,90,170,300,3,B1,mu-metal,80.67066959462146
circle,8,15,10,90,170,300,5,A1,none,79.2547901848636
circle,8,15,10,90,170,300,5,A1,mu-metal,79.57185630484781
circle,8,15,10,90,170,300,5,B1,none,79.6011861737146
circle,8,15,10,90,170,300,5,B1,mu-metal,79.36022418858144
circle,8,15,10,90,170,350,3,A1,none,80.20741414395474
circle,8,15,10,90,170,350,3,A1,mu-metal,79.83218350598877
circle,8,15,10,90,170,350,3,B1,none,80.39156041415733
circle,8,15,10,90,170,350,3,B1,mu-metal,78.53314150930095
circle,8,15,10,90,170,350,5,A1,none,79.10814365452823
circle,8,15,10,90,170,350,5,A1,mu-metal,79.43992869099415
circle,8,15,10,90,170,350,5,B1,none,80.03055714412018
circle,8,15,10,90,170,350,5,B1,mu-metal,79.40753513555664
circle,8,20,0,80,150,300,3,A1,none,81.45411406166266
circle,8,20,0,80,150,300,3,A1,mu-metal,81.47010399644272
circle,8,20,0,80,150,300,3,B1,none,82.10547994639758
circle,8,20,0,80,150,300,3,B1,mu-metal,81.65774394767026
circle,8,20,0,80,150,300,5,A1,none,81.59001921937896
circle,8,20,0,80,150,300,5,A1,mu-metal,81.04396089578954
circle,8,20,0,80,150,300,5,B1,none,80.71490800353784
circle,8,20,0,80,150,300,5,B1,mu-metal,80.83897262474554
circle,8,20,0,80,150,350,3,A1,none,81.52087224179513
circle,8,20,0,80,150,350,3,A1,mu-metal,82.17172016395948
circle,8,20,0,80,150,350,3,B1,none,81.7299510319961
circle,8,20,0,80,150,350,3,B1,mu-metal,81.06723939750664
circle,8,20,0,80,150,350,5,A1,none,81.28349721838607
circle,8,20,0,80,150,350,5,A1,mu-metal,80.96859567540506
circle,8,20,0,80,150,350,5,B1,none,80.04556655114203
circle,8,20,0,80,150,350,5,B1,mu-metal,81.7131765495641
circle,8,20,0,80,170,300,3,A1,none,80.91055253496326
circle,8,20,0,80,170,300,3,A1,mu-metal,81.36693009307498
circle,8,20,0,80,170,300,3,B1,none,82.19507962506648
circle,8,20,0,80,170,300,3,B1,mu-metal,81.46244752781035
circle,8,20,0,80,170,300,5,A1,none,80.9994437065919
circle,8,20,0,80,170,300,5,A1,mu-metal,80.89203880806699
circle,8,20,0,80,170,300,5,B1,none,81.13981365756834
circle,8,20,0,80,170,300,5,B1,mu-metal,81.24186681549978
circle,8,20,0,80,170,350,3,A1,none,80.93162250520234
circle,8,20,0,80,170,350,3,A1,mu-metal,81.28673848641483
circle,8,20,0,80,170,350,3,B1,none,81.88550790257152
circle,8,20,0,80,170,350,3,B1,mu-metal,82.15331733792415
circle,8,20,0,80,170,350,5,A1,none,81.09593289862228
circle,8,20,0,80,170,350,5,A1,mu-metal,81.0135663965153
circle,8,20,0,80,170,350,5,B1,none,81.3358052349335
circle,8,20,0,80,170,350,5,B1,mu-metal,81.54791342523313
circle,8,20,0,90,150,300,3,A1,none,81.4898924960132
circle,8,20,0,90,150,300,3,A1,mu-metal,81.40415640349097
circle,8,20,0,90,150,300,3,B1,none,81.07213498641526
circle,8,20,0,90,150,300,3,B1,mu-metal,81.90563591505803
circle,8,20,0,90,150,300,5,A1,none,81.4885554420227
circle,8,20,0,90,150,300,5,A1,mu-metal,80.69243004192803
circle,8,20,0,90,150,300,5,B1,none,81.09524609867916
circle,8,20,0,90,150,300,5,B1,mu-metal,81.59762926920997
circle,8,20,0,90,150,350,3,A1,none,81.57378425295845
circle,8,20,0,90,150,350,3,A1,mu-metal,80.72601875242741
circle,8,20,0,90,150,350,3,B1,none,81.8396550171768
circle,8,20,0,90,150,350,3,B1,mu-metal,80.73631953672951
circle,8,20,0,90,150,350,5,A1,none,81.23469082120836
circle,8,20,0,90,150,350,5,A1,mu-metal,81.27996713718203
circle,8,20,0,90,150,350,5,B1,none,80.76638098577959
circle,8,20,0,90,150,350,5,B1,mu-metal,80.71394455973454
circle,8,20,0,90,170,300,3,A1,none,80.8183061913476
circle,8,20,0,90,170,300,3,A1,mu-metal,80.84363522952815
circle,8,20,0,90,170,300,3,B1,none,80.98357994450696
circle,8,20,0,90,170,300,3,B1,mu-metal,81.74366967083473
circle,8,20,0,90,170,300,5,A1,none,81.52727857138383
circle,8,20,0,90,170,300,5,A1,mu-metal,81.43463830725022
circle,8,20,0,90,170,300,5,B1,none,81.21685688817074
circle,8,20,0,90,170,300,5,B1,mu-metal,80.58735774400658
circle,8,20,0,90,170,350,3,A1,none,81.07382941980704
circle,8,20,0,90,170,350,3,A1,mu-metal,80.87118785889965
circle,8,20,0,90,170,350,3,B1,none,80.69591391657116
circle,8,20,0,90,170,350,3,B1,mu-metal,80.9111885650327
circle,8,20,0,90,170,350,5,A1,none,81.18786040382844
circle,8,20,0,90,170,350,5,A1,mu-metal,81.42065284768987
circle,8,20,0,90,170,350,5,B1,none,81.42165240957854
circle,8,20,0,90,170,350,5,B1,mu-metal,81.30432369029283
circle,8,20,10,80,150,300,3,A1,none,75.84225239490563
circle,8,20,10,80,150,300,3,A1,mu-metal,76.33634613206864
circle,8,20,10,80,150,300,3,B1,none,75.68846265213166
circle,8,20,10,80,150,300,3,B1,mu-metal,76.643998312714
circle,8,20,10,80,150,300,5,A1,none,76.32253667390674
circle,8,20,10,80,150,300,5,A1,mu-metal,76.80923060926986
circle,8,20,10,80,150,300,5,B1,none,77.05714317607179
circle,8,20,10,80,150,300,5,B1,mu-metal,76.8322169401335
circle,8,20,10,80,150,350,3,A1,none,76.25790214486474
circle,8,20,10,80,150,350,3,A1,mu-metal,76.32887888381951
circle,8,20,10,80,150,350,3,B1,none,74.82594605114052
circle,8,20,10,80,150,350,3,B1,mu-metal,76.62151265432634
circle,8,20,10,80,150,350,5,A1,none,76.87439625864207
circle,8,20,10,80,150,350,5,A1,mu-metal,76.45678385407072
circle,8,20,10,80,150,350,5,B1,none,76.22539914187658
circle,8,20,10,80,150,350,5,B1,mu-metal,76.80800544544054
circle,8,20,10,80,170,300,3,A1,none,76.44436780372888
circle,8,20,10,80,170,300,3,A1,mu-metal,75.82683010861815
circle,8,20,10,80,170,300,3,B1,none,75.52441914602345
circle,8,20,10,80,170,300,3,B1,mu-metal,76.33019099271672
circle,8,20,10,80,170,300,5,A1,none,76.77868662877141
circle,8,20,10,80,170,300,5,A1,mu-metal,76.01137091952812
circle,8,20,10,80,170,300,5,B1,none,77.04332563037441
circle,8,20,10,80,170,300,5,B1,mu-metal,76.83147428122679
circle,8,20,10,80,170,350,3,A1,none,76.39928484238195
circle,8,20,10,80,170,350,3,A1,mu-metal,76.60981143026201
circle,8,20,10,80,170,350,3,B1,none,75.88363649800179
circle,8,20,10,80,170,350,3,B1,mu-metal,75.46890726381031
circle,8,20,10,80,170,350,5,A1,none,76.47514455799973
circle,8,20,10,80,170,350,5,A1,mu-metal,76.23210450227363
circle,8,20,10,80,170,350,5,B1,none,77.03964247413019
circle,8,20,10,80,170,350,5,B1,mu-metal,75.65181643723453
circle,8,20,10,90,150,300,3,A1,none,76.7150246906419
circle,8,20,10,90,150,300,3,A1,mu-metal,75.58240669103344
circle,8,20,10,90,150,300,3,B1,none,76.01745830904406
circle,8,20,10,90,150,300,3,B1,mu-metal,76.12607653505569
circle,8,20,10,90,150,300,5,A1,none,76.11641129094657
circle,8,20,10,90,150,300,5,A1,mu-metal,75.82454951372902
circle,8,20,10,90,150,300,5,B1,none,76.38762444625895
circle,8,20,10,90,150,300,5,B1,mu-metal,76.05932108738803
circle,8,20,10,90,150,350,3,A1,none,76.05007180233564
circle,8,20,10,90,150,350,3,A1,mu-metal,77.40047480435501
circle,8,20,10,90,150,350,3,B1,none,75.52726326801098
circle,8,20,10,90,150,350,3,B1,mu-metal,76.24485276487869
circle,8,20,10,90,150,350,5,A1,none,76.38842520941651
circle,8,20,10,90,150,350,5,A1,mu-metal,76.32442503862829
circle,8,20,10,90,150,350,5,B1,none,76.26328756599844
circle,8,20,10,90,150,350,5,B1,mu-metal,76.1524810388865
circle,8,20,10,90,170,300,3,A1,none,75.43788446231939
circle,8,20,10,90,170,300,3,A1,mu-metal,76.22276486762523
circle,8,20,10,90,170,300,3,B1,none,76.68087443452134
circle,8,20,10,90,170,300,3,B1,mu-metal,76.50701075134758
circle,8,20,10,90,170,300,5,A1,none,75.59280472536662
circle,8,20,10,90,170,300,5,A1,mu-metal,76.45396674208953
circle,8,20,10,90,170,300,5,B1,none,76.16846987204677
circle,8,20,10,90,170,300,5,B1,mu-metal,76.6176689769227
circle,8,20,10,90,170,350,3,A1,none,75.45986372660197
circle,8,20,10,90,170,350,3,A1,mu-metal,75.3838781719262
circle,8,20,10,90,170,350,3,B1,none,76.44593427532337
circle,8,20,10,90,170,350,3,B1,mu-metal,75.32642717460912
circle,8,20,10,90,170,350,5,A1,none,76.17111424660477
circle,8,20,10,90,170,350,5,A1,mu-metal,76.03990666601639
circle,8,20,10,90,170,350,5,B1,none,76.38127711707865
circle,8,20,10,90,170,350,5,B1,mu-metal,76.2505959010817
circle,10,10,0,80,150,300,3,A1,none,86.91227796389576
circle,10,10,0,80,150,300,3,A1,mu-metal,86.87462232230936
circle,10,10,0,80,150,300,3,B1,none,88.33670209250023
circle,10,10,0,80,150,300,3,B1,mu-metal,88.76882861595898
circle,10,10,0,80,150,300,5,A1,none,88.42528041914218
circle,10,10,0,80,150,300,5,A1,mu-metal,89.00031187139702
circle,10,10,0,80,150,300,5,B1,none,88.34179442649044
circle,10,10,0,80,150,300,5,B1,mu-metal,89.28642499887157
circle,10,10,0,80,150,350,3,A1,none,89.14945398744166
circle,10,10,0,80,150,350,3,A1,mu-metal,88.68639080443614
circle,10,10,0,80,150,350,3,B1,none,88.76674464229733
circle,10,10,0,80,150,350,3,B1,mu-metal,88.13802635024722
circle,10,10,0,80,150,350,5,A1,none,88.51942106098936
circle,10,10,0,80,150,350,5,A1,mu-metal,88.53650431368108
circle,10,10,0,80,150,350,5,B1,none,88.34562483030157
circle,10,10,0,80,150,350,5,B1,mu-metal,87.63986932109806
circle,10,10,0,80,170,300,3,A1,none,88.16114469284524
circle,10,10,0,80,170,300,3,A1,mu-metal,88.5775212571434
circle,10,10,0,80,170,300,3,B1,none,88.49559856237569
circle,10,10,0,80,170,300,3,B1,mu-metal,88.69446146321415
circle,10,10,0,80,170,300,5,A1,none,89.45920736869039
circle,10,10,0,80,170,300,5,A1,mu-metal,87.94092144341879
circle,10,10,0,80,170,300,5,B1,none,88.8144924691266
circle,10,10,0,80,170,300,5,B1,mu-metal,87.4451025510391
circle,10,10,0,80,170,350,3,A1,none,88.72392780379113
circle,10,10,0,80,170,350,3,A1,mu-metal,88.4390696263358
circle,10,10,0,80,170,350,3,B1,none,88.42627870004783
circle,10,10,0,80,170,350,3,B1,mu-metal,88.41787118394326
circle,10,10,0,80,170,350,5,A1,none,87.53741828579051
circle,10,10,0,80,170,350,5,A1,mu-metal,87.80611235607891
circle,10,10,0,80,170,350,5,B1,none,88.7462205155443
circle,10,10,0,80,170,350,5,B1,mu-metal,88.19132923776081
circle,10,10,0,90,150,300,3,A1,none,87.82649365679072
circle,10,10,0,90,150,300,3,A1,mu-metal,87.02818019752746
circle,10,10,0,90,150,300,3,B1,none,88.12706632594642
circle,10,10,0,90,150,300,3,B1,mu-metal,87.52248675205765
circle,10,10,0,90,150,300,5,A1,none,88.50345369715467
circle,10,10,0,90,150,300,5,A1,mu-metal,88.09481453464072
circle,10,10,0,90,150,300,5,B1,none,88.50981517284895
circle,10,10,0,90,150,300,5,B1,mu-metal,87.86610712577065
circle,10,10,0,90,150,350,3,A1,none,88.14337222985912
circle,10,10,0,90,150,350,3,A1,mu-metal,88.3458747740518
circle,10,10,0,90,150,350,3,B1,none,88.07274694812436
circle,10,10,0,90,150,350,3,B1,mu-metal,88.36416010417825
circle,10,10,0,90,150,350,5,A1,none,88.16570032156935
circle,10,10,0,90,150,350,5,A1,mu-metal,88.01360147223106
circle,10,10,0,90,150,350,5,B1,none,88.0288802139444
circle,10,10,0,90,150,350,5,B1,mu-metal,88.37844922333443
circle,10,10,0,90,170,300,3,A1,none,88.59922888151276
circle,10,10,0,90,170,300,3,A1,mu-metal,88.21806715454122
circle,10,10,0,90,170,300,3,B1,none,88.25392333991432
